iter	Passed	Remaining
0	19	133846
1	38	134340
2	57	134922
3	77	135806
4	96	135437
5	116	135775
6	135	135817
7	155	135862
8	172	133803
9	191	133805
10	210	133885
11	224	130764
12	238	128354
13	257	128561
14	276	128968
15	295	129148
16	315	129546
17	334	129922
18	349	128444
19	368	128722
20	378	125737
21	397	126164
22	417	126531
23	436	126775
24	455	127150
25	469	126037
26	489	126396
27	508	126722
28	528	126939
29	542	126143
30	562	126477
31	581	126714
32	601	126999
33	620	127102
34	639	127204
35	657	127263
36	676	127320
37	695	127382
38	714	127506
39	735	127993
40	755	128240
41	774	128327
42	793	128400
43	812	128469
44	831	128508
45	850	128641
46	869	128647
47	889	128779
48	896	127114
49	915	127244
50	925	126043
51	939	125510
52	957	125536
53	977	125708
54	984	124352
55	1004	124518
56	1021	124384
57	1035	123940
58	1052	123822
59	1071	123992
60	1086	123597
61	1106	123789
62	1125	123983
63	1146	124245
64	1166	124483
65	1173	123327
66	1192	123394
67	1206	122989
68	1215	122124
69	1234	122212
70	1248	121874
71	1262	121520
72	1281	121598
73	1295	121264
74	1314	121405
75	1331	121283
76	1350	121398
77	1370	121608
78	1389	121697
79	1407	121775
80	1419	121282
81	1426	120374
82	1444	120419
83	1458	120094
84	1470	119638
85	1477	118809
86	1489	118335
87	1498	117718
88	1517	117800
89	1536	117971
90	1545	117374
91	1557	116936
92	1575	117039
93	1585	116504
94	1597	116132
95	1619	116443
96	1649	117368
97	1667	117468
98	1690	117818
99	1717	118473
100	1733	118409
101	1759	118966
102	1780	119252
103	1798	119277
104	1815	119210
105	1827	118838
106	1846	118953
107	1860	118728
108	1879	118794
109	1898	118908
110	1910	118544
111	1928	118619
112	1938	118133
113	1956	118202
114	1975	118253
115	1988	118032
116	2004	117948
117	2021	117888
118	2040	118008
119	2055	117869
120	2075	117990
121	2092	117986
122	2105	117699
123	2124	117830
124	2144	117973
125	2159	117803
126	2178	117878
127	2197	117957
128	2216	118078
129	2226	117660
130	2243	117621
131	2263	117749
132	2283	117881
133	2297	117704
134	2315	117738
135	2334	117824
136	2349	117676
137	2367	117733
138	2386	117809
139	2406	117906
140	2425	117989
141	2444	118054
142	2463	118109
143	2474	117831
144	2489	117681
145	2508	117748
146	2527	117814
147	2546	117883
148	2566	117990
149	2584	118029
150	2603	118089
151	2615	117853
152	2627	117585
153	2644	117544
154	2653	117170
155	2671	117217
156	2681	116873
157	2700	116934
158	2720	117053
159	2740	117145
160	2759	117203
161	2773	117052
162	2784	116799
163	2802	116835
164	2822	116910
165	2841	116977
166	2849	116578
167	2861	116367
168	2880	116426
169	2900	116518
170	2919	116596
171	2938	116656
172	2958	116732
173	2974	116687
174	2981	116289
175	2995	116144
